EURUSD Curncy,eurusd30dma,eurusd50dma,signal
PX_LAST,,,
1.1455,,,
1.1335,,,
1.1399,,,
1.1395,,,
1.1469,,,
1.1454,,,
1.1533,,,
1.1506,,,
1.1469,,,
1.1477,,,
1.139,,,
1.1400000000000001,,,
1.1386,,,
1.1363,,,
1.1368,,,
1.1369,,,
1.1393,,,
1.1299,,,
1.1406,,,
1.1435,,,
1.1428,,,
1.1419,,,
1.145,,,
1.1456,,,
1.1431,,,
1.1409,,,
1.1376,,,
1.1349,,,
1.1323,,,
1.1271,1.14071,,
1.1320000000000001,1.14026,,
1.1276,1.1400633333333334,,
1.1297,1.1397233333333334,,
1.1296,1.1393933333333337,,
1.1311,1.1388666666666671,,
1.1348,1.1385133333333335,,
1.1366,1.137956666666667,,
1.1331,1.1373733333333336,,
1.1335,1.1369266666666669,,
1.1348,1.1364966666666667,,
1.138,1.1364633333333332,,
1.1369,1.1363599999999998,,
1.1381999999999999,1.1363466666666666,,
1.1365,1.136353333333333,,
1.1332,1.1362333333333332,,
1.1297,1.1359933333333332,,
1.1308,1.13571,,
1.1225,1.1354633333333335,,
1.1235,1.1348933333333335,,
1.1242,1.1342500000000002,1.137152,-1.0
1.129,1.13379,1.136822,
1.1303,1.1334033333333333,1.136758,
1.1299,1.1328999999999998,1.136558,
1.1326,1.1324666666666663,1.13642,
1.1328,1.1321233333333331,1.1361379999999999,
1.1354,1.1319399999999997,1.135938,
1.1358,1.1318799999999998,1.1355879999999998,
1.1353,1.1318933333333332,1.135282,
1.1302,1.1318233333333332,1.134948,
1.1317,1.1319766666666666,1.134628,
1.1283,1.1318533333333334,1.134414,
1.1254,1.13178,1.134122,
1.1235,1.1315733333333333,1.13382,
1.1218,1.1313133333333336,1.1335300000000001,
1.1206,1.1309633333333338,1.1332060000000002,
1.1197,1.1304600000000005,1.1328620000000003,
1.1244,1.1300533333333338,1.1325640000000003,
1.1219,1.1296800000000005,1.1324040000000002,
1.1216,1.1292833333333339,1.1320240000000004,
1.1267,1.1290133333333339,1.1316880000000002,
1.127,1.1286466666666675,1.1313720000000003,
1.1276,1.1283366666666674,1.1310860000000003,
1.1258,1.1279233333333343,1.130702,
1.1299,1.1277033333333342,1.1303880000000002,
1.1307,1.1276200000000007,1.1301400000000001,
1.1284,1.1275766666666673,1.12989,
1.1296,1.1275366666666673,1.12973,
1.123,1.1275533333333339,1.129492,
1.1245,1.127586666666667,1.129336,
1.1258,1.1276400000000002,1.1293099999999998,
1.1214,1.127386666666667,1.129098,
1.1159,1.1269066666666672,1.1288639999999999,
1.1137,1.1263666666666672,1.1285439999999998,
1.1151,1.1257833333333338,1.1282539999999996,
1.1181,1.1252933333333337,1.1279939999999997,
1.1217,1.124836666666667,1.1277319999999995,
1.1242,1.1244500000000002,1.1274839999999997,
1.1178,1.123866666666667,1.1271779999999998,
1.1198,1.12352,1.1269039999999997,
1.1203,1.12314,1.1266139999999998,
1.1175,1.12278,1.1262039999999998,
1.1189,1.1225633333333334,1.1258439999999998,
1.1216,1.1225,1.1255119999999998,
1.1233,1.1225500000000002,1.125248,
1.1235,1.1226466666666668,1.125054,
1.121,1.12269,1.12488,
1.1206,1.1225633333333334,1.124676,
1.1177,1.1224233333333336,1.12458,
1.1158,1.1222300000000003,1.124426,
1.1168,1.1219000000000001,1.1242779999999999,
1.116,1.1215333333333333,1.124018,
1.1157,1.1211366666666664,1.123726,
1.1182,1.1208833333333332,1.123492,
1.1203,1.1205633333333334,1.123246,
1.1191,1.1201766666666668,1.122972,
